method,variable_1,variable_2,correlation
pearson,Соотношение матрица-наполнитель,"Плотность, кг/м3",0.007949938679
pearson,Соотношение матрица-наполнитель,"модуль упругости, ГПа",0.05159891441
pearson,Соотношение матрица-наполнитель,"Количество отвердителя, м.%",0.009776484847
pearson,Соотношение матрица-наполнитель,"Содержание эпоксидных групп,%_2",-0.01939960723
pearson,Соотношение матрица-наполнитель,"Температура вспышки, С_2",0.003940998265
pearson,Соотношение матрица-наполнитель,"Поверхностная плотность, г/м2",-0.02291911457
pearson,Соотношение матрица-наполнитель,"Модуль упругости при растяжении, ГПа",-0.02001941686
pearson,Соотношение матрица-наполнитель,"Прочность при растяжении, МПа",0.03511722173
pearson,Соотношение матрица-наполнитель,"Потребление смолы, г/м2",0.07753194086
pearson,Соотношение матрица-наполнитель,"Угол нашивки, град",-0.003848501265
pearson,Соотношение матрица-наполнитель,Шаг нашивки,0.06392501596
pearson,Соотношение матрица-наполнитель,Плотность нашивки,0.009827596746
pearson,"Плотность, кг/м3","модуль упругости, ГПа",-0.03109413745
pearson,"Плотность, кг/м3","Количество отвердителя, м.%",-0.02961805394
pearson,"Плотность, кг/м3","Содержание эпоксидных групп,%_2",0.01822460331
pearson,"Плотность, кг/м3","Температура вспышки, С_2",-0.04722388026
pearson,"Плотность, кг/м3","Поверхностная плотность, г/м2",0.01270598436
pearson,"Плотность, кг/м3","Модуль упругости при растяжении, ГПа",-0.01970402858
pearson,"Плотность, кг/м3","Прочность при растяжении, МПа",-0.05827815305
pearson,"Плотность, кг/м3","Потребление смолы, г/м2",-0.03209080885
pearson,"Плотность, кг/м3","Угол нашивки, град",-0.06451338379
pearson,"Плотность, кг/м3",Шаг нашивки,-0.04575506609
pearson,"Плотность, кг/м3",Плотность нашивки,0.07778585626
pearson,"модуль упругости, ГПа","Количество отвердителя, м.%",0.002985897414
pearson,"модуль упругости, ГПа","Содержание эпоксидных групп,%_2",-0.02187295623
pearson,"модуль упругости, ГПа","Температура вспышки, С_2",0.01459611958
pearson,"модуль упругости, ГПа","Поверхностная плотность, г/м2",0.06092421372
pearson,"модуль упругости, ГПа","Модуль упругости при растяжении, ГПа",0.01694099104
pearson,"модуль упругости, ГПа","Прочность при растяжении, МПа",0.05295984252
pearson,"модуль упругости, ГПа","Потребление смолы, г/м2",0.007278592975
pearson,"модуль упругости, ГПа","Угол нашивки, град",-0.04446797914
pearson,"модуль упругости, ГПа",Шаг нашивки,-0.01718160984
pearson,"модуль упругости, ГПа",Плотность нашивки,0.04919117205
pearson,"Количество отвердителя, м.%","Содержание эпоксидных групп,%_2",-0.004609558016
pearson,"Количество отвердителя, м.%","Температура вспышки, С_2",0.1168448668
pearson,"Количество отвердителя, м.%","Поверхностная плотность, г/м2",0.06382799783
pearson,"Количество отвердителя, м.%","Модуль упругости при растяжении, ГПа",-0.08202725093
pearson,"Количество отвердителя, м.%","Прочность при растяжении, МПа",-0.07434752662
pearson,"Количество отвердителя, м.%","Потребление смолы, г/м2",-0.0107531897
pearson,"Количество отвердителя, м.%","Угол нашивки, град",0.04060525599
pearson,"Количество отвердителя, м.%",Шаг нашивки,0.04128931643
pearson,"Количество отвердителя, м.%",Плотность нашивки,-0.02769977742
pearson,"Содержание эпоксидных групп,%_2","Температура вспышки, С_2",0.01315479174
pearson,"Содержание эпоксидных групп,%_2","Поверхностная плотность, г/м2",-0.003348248141
pearson,"Содержание эпоксидных групп,%_2","Модуль упругости при растяжении, ГПа",0.05287439339
pearson,"Содержание эпоксидных групп,%_2","Прочность при растяжении, МПа",-0.01313385657
pearson,"Содержание эпоксидных групп,%_2","Потребление смолы, г/м2",0.02536949955
pearson,"Содержание эпоксидных групп,%_2","Угол нашивки, град",0.02293022472
pearson,"Содержание эпоксидных групп,%_2",Шаг нашивки,-0.00870296946
pearson,"Содержание эпоксидных групп,%_2",Плотность нашивки,-0.03688089752
pearson,"Температура вспышки, С_2","Поверхностная плотность, г/м2",0.01914457102
pearson,"Температура вспышки, С_2","Модуль упругости при растяжении, ГПа",0.05573985614
pearson,"Температура вспышки, С_2","Прочность при растяжении, МПа",-0.03815938192
pearson,"Температура вспышки, С_2","Потребление смолы, г/м2",0.05005176587
pearson,"Температура вспышки, С_2","Угол нашивки, град",0.02445112055
pearson,"Температура вспышки, С_2",Шаг нашивки,0.007122380031
pearson,"Температура вспышки, С_2",Плотность нашивки,0.004890768572
pearson,"Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа",0.01465691371
pearson,"Поверхностная плотность, г/м2","Прочность при растяжении, МПа",0.02455313558
pearson,"Поверхностная плотность, г/м2","Потребление смолы, г/м2",0.004925544393
pearson,"Поверхностная плотность, г/м2","Угол нашивки, град",0.06496229818
pearson,"Поверхностная плотность, г/м2",Шаг нашивки,0.01523479173
pearson,"Поверхностная плотность, г/м2",Плотность нашивки,-0.05273027065
pearson,"Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа",-0.01570007481
pearson,"Модуль упругости при растяжении, ГПа","Потребление смолы, г/м2",0.04389398923
pearson,"Модуль упругости при растяжении, ГПа","Угол нашивки, град",0.02610285135
pearson,"Модуль упругости при растяжении, ГПа",Шаг нашивки,-0.05982301173
pearson,"Модуль упругости при растяжении, ГПа",Плотность нашивки,0.007561145624
pearson,"Прочность при растяжении, МПа","Потребление смолы, г/м2",0.0462876701
pearson,"Прочность при растяжении, МПа","Угол нашивки, град",0.005218705621
pearson,"Прочность при растяжении, МПа",Шаг нашивки,-0.04198159177
pearson,"Прочность при растяжении, МПа",Плотность нашивки,0.05765457893
pearson,"Потребление смолы, г/м2","Угол нашивки, град",0.01485438877
pearson,"Потребление смолы, г/м2",Шаг нашивки,-0.008888370831
pearson,"Потребление смолы, г/м2",Плотность нашивки,0.04706347328
pearson,"Угол нашивки, град",Шаг нашивки,-0.03125267386
