variable,minimum_before,maximum_before,minimum_after,maximum_after
Соотношение матрица-наполнитель,0.3894026052,5.455566178,0,1
"Плотность, кг/м3",1740.657496,2192.297637,0,1
"модуль упругости, ГПа",2.436908754,1911.536477,0,1
"Количество отвердителя, м.%",17.74027456,198.9532072,0,1
"Содержание эпоксидных групп,%_2",15.6958938,28.95509437,0,1
"Температура вспышки, С_2",100,413.2734182,0,1
"Поверхностная плотность, г/м2",0.6037399252,1399.542362,0,1
"Модуль упругости при растяжении, ГПа",64.6964004,82.68205104,0,1
"Прочность при растяжении, МПа",1036.856605,3848.436732,0,1
"Потребление смолы, г/м2",33.80302553,386.9034314,0,1
"Угол нашивки, град",0,90,0,1
Шаг нашивки,0,14.44052188,0,1
Плотность нашивки,0,98.20260275,0,1
