variable,q1,q3,iqr,lower_bound,upper_bound,candidate_count,candidate_share
Соотношение матрица-наполнитель,2.331624685,3.548143396,1.216518711,0.5068466177,5.372921463,5,0.006983240223
"Плотность, кг/м3",1923.628661,2019.917316,96.28865527,1779.195678,2164.350299,5,0.006983240223
"модуль упругости, ГПа",498.4380683,944.1885603,445.7504921,-170.1876698,1612.814298,4,0.005586592179
"Количество отвердителя, м.%",92.41992061,129.0458541,36.62593346,37.48102042,183.9847543,9,0.0125698324
"Содержание эпоксидных групп,%_2",20.51260601,23.89030361,3.377697603,15.4460596,28.95685002,0,0
"Температура вспышки, С_2",257.1601845,310.7811158,53.62093129,176.7287876,391.2125128,8,0.01117318436
"Поверхностная плотность, г/м2",263.7461962,687.5517398,423.8055435,-371.9621191,1323.260055,1,0.001396648045
"Модуль упругости при растяжении, ГПа",71.14516523,75.26499845,4.119833224,64.96541539,81.44474829,4,0.005586592179
"Прочность при растяжении, МПа",2132.791054,2762.637197,629.8461435,1188.021839,3707.406413,8,0.01117318436
"Потребление смолы, г/м2",181.2438093,258.012483,76.76867369,66.09079878,373.1654935,5,0.006983240223
Шаг нашивки,5.023830195,8.56242627,3.538596075,-0.2840639176,13.87032038,4,0.005586592179
Плотность нашивки,49.50440235,64.79821106,15.29380871,26.56368929,87.73892412,16,0.02234636872
