variable,count,mean,median,min,max,std,null_count,unique_count
Соотношение матрица-наполнитель,716,2.921321844,2.900123098,0.3894026052,5.455566178,0.9076104352,0,711
"Плотность, кг/м3",716,1973.803262,1973.06318,1740.657496,2192.297637,71.61811231,0,709
"модуль упругости, ГПа",716,735.5505737,738.7368421,2.436908754,1911.536477,323.5459255,0,715
"Количество отвердителя, м.%",716,110.4669917,110.2827183,17.74027456,198.9532072,28.35694702,0,702
"Содержание эпоксидных групп,%_2",716,22.18479931,22.2008718,15.6958938,28.95509437,2.391527287,0,701
"Температура вспышки, С_2",716,284.3862342,284.6153846,100,413.2734182,41.56364805,0,701
"Поверхностная плотность, г/м2",716,479.4246357,449.0515432,0.6037399252,1399.542362,280.7287418,0,702
"Модуль упругости при растяжении, ГПа",716,73.20734586,73.10852207,64.6964004,82.68205104,3.096838387,0,702
"Прочность при растяжении, МПа",716,2464.533846,2455.555556,1036.856605,3848.436732,490.8396654,0,702
"Потребление смолы, г/м2",716,219.3425125,219.4784564,33.80302553,386.9034314,58.85104592,0,701
"Угол нашивки, град",716,45.25139665,90,0,90,45.03075481,0,2
Шаг нашивки,716,6.856648472,6.862404304,0,14.44052188,2.53684821,0,694
Плотность нашивки,716,56.95402661,57.23143706,0,98.20260275,12.61763313,0,693
