task,family,partition,n,rmse,mae,r2,selected,artifact
direct_tensile_modulus,baseline,train,716,3.09467503487,2.48003806143,0,True,models/direct_tensile_modulus_baseline.joblib
direct_tensile_modulus,baseline,test,307,3.17767217282,2.55641743624,-0.0164255169801,True,models/direct_tensile_modulus_baseline.joblib
direct_tensile_modulus,ridge,train,716,3.06580700299,2.46320128438,0.0185695666519,False,models/direct_tensile_modulus_rank1.joblib
direct_tensile_modulus,ridge,test,307,3.18987287477,2.56660293444,-0.0242456514633,False,models/direct_tensile_modulus_rank1.joblib
direct_tensile_modulus,gradient_boosting,train,716,2.86714025693,2.29279453138,0.141643353476,False,models/direct_tensile_modulus_rank2.joblib
direct_tensile_modulus,gradient_boosting,test,307,3.22114556386,2.58664892054,-0.0444269743491,False,models/direct_tensile_modulus_rank2.joblib
direct_tensile_modulus,random_forest,train,716,1.81687958284,1.3344255954,0.655315157077,False,models/direct_tensile_modulus_rank3.joblib
direct_tensile_modulus,random_forest,test,307,3.31119114278,2.64292251863,-0.103636057264,False,models/direct_tensile_modulus_rank3.joblib
direct_tensile_modulus,svr,train,716,2.81258363662,2.1373854845,0.173998590066,False,models/direct_tensile_modulus_rank4.joblib
direct_tensile_modulus,svr,test,307,3.26315610101,2.62280030214,-0.0718476923949,False,models/direct_tensile_modulus_rank4.joblib
direct_tensile_strength,baseline,train,716,490.496780527,384.490232802,0,False,models/direct_tensile_strength_baseline.joblib
direct_tensile_strength,baseline,test,307,473.287765049,378.983815568,-0.000282994451281,False,models/direct_tensile_strength_baseline.joblib
direct_tensile_strength,gradient_boosting,train,716,447.14890514,352.394416551,0.168940686096,True,models/direct_tensile_strength_rank1.joblib
direct_tensile_strength,gradient_boosting,test,307,471.410142532,380.15192219,0.00763788800174,True,models/direct_tensile_strength_rank1.joblib
direct_tensile_strength,ridge,train,716,485.153578385,382.026166816,0.0216682326977,False,models/direct_tensile_strength_rank2.joblib
direct_tensile_strength,ridge,test,307,471.725888983,378.436806382,0.00630809162779,False,models/direct_tensile_strength_rank2.joblib
direct_tensile_strength,random_forest,train,716,298.600526651,241.57717639,0.629397097393,False,models/direct_tensile_strength_rank3.joblib
direct_tensile_strength,random_forest,test,307,476.225188354,381.814213435,-0.0127378805482,False,models/direct_tensile_strength_rank3.joblib
direct_tensile_strength,svr,train,716,446.933755637,332.804063539,0.169740236227,False,models/direct_tensile_strength_rank4.joblib
direct_tensile_strength,svr,test,307,484.994583183,390.3293745,-0.0503791836197,False,models/direct_tensile_strength_rank4.joblib
matrix_filler_ratio,baseline,train,716,0.906976407544,0.718494181744,0,False,models/matrix_filler_ratio_baseline.joblib
matrix_filler_ratio,baseline,test,307,0.926307389143,0.752220524079,-0.00105959152773,False,models/matrix_filler_ratio_baseline.joblib
matrix_filler_ratio,mlp,train,716,0.870282533905,0.691846358021,0.0792779275387,True,models/matrix_filler_ratio_mlp.joblib
matrix_filler_ratio,mlp,test,307,0.944256593525,0.777111618355,-0.0402308428154,True,models/matrix_filler_ratio_mlp.joblib
